activity_year,county_code,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,loan_purpose,loan_amount,loan_term,income,applicant_age,denial_reason-1
2018,37135,FHA:First Lien,Single Family (1-4 Units):Manufactured,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,1,125000.0,360,,8888,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,1,215000.0,360,,8888,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,1,135000.0,360,,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,1,195000.0,360,60.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,1,405000.0,360,116.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Sex Not Available,4,0,32,85000.0,180,161.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,3,1,345000.0,360,135.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,5,0,1,325000.0,360,160.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,1,1,195000.0,360,287.0,45-54,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,5,115000.0,,,8888,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,5,185000.0,,,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,1,375000.0,360,100.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,1,1,365000.0,360,207.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,4,0,1,235000.0,180,183.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,1,125000.0,360,52.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,3,1,325000.0,180,183.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,1,255000.0,360,53.0,25-34,10
2018,37135,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,535000.0,360,152.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,3,1,235000.0,360,62.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,1,365000.0,360,171.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,3,31,225000.0,360,,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,Joint,Joint,4,0,1,375000.0,360,105.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,1,185000.0,360,68.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,32,625000.0,360,,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,5,505000.0,360,,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,1,435000.0,360,1412.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,0,31,785000.0,360,364.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,4,785000.0,360,250.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Joint,1,0,32,275000.0,360,164.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,31,635000.0,360,609.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,1,845000.0,360,230.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,31,255000.0,300,123.0,>74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,1,705000.0,360,257.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,1,425000.0,360,107.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,8,31,495000.0,360,196.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,2,0,1,475000.0,360,110.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,31,665000.0,360,263.0,45-54,10
2018,37135,FSA/RHS:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,9,1,185000.0,360,62.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,1,8,1,475000.0,360,112.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,1,155000.0,360,54.0,35-44,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,5,0,1,125000.0,360,4.0,35-44,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Female,3,0,31,205000.0,347,,45-54,5
2018,37135,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,32,75000.0,180,2.0,>74,10
2018,37135,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,32,165000.0,360,3.0,65-74,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,5,0,32,275000.0,360,4.0,45-54,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,2,31,195000.0,347,,45-54,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,2,31,115000.0,360,,55-64,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,5,0,32,105000.0,360,3.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,1,1,1,105000.0,360,4.0,35-44,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,5,0,32,105000.0,360,3.0,55-64,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,5,0,1,95000.0,360,1.0,25-34,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,2,32,195000.0,360,5.0,45-54,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Joint,4,0,32,155000.0,360,5.0,65-74,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,2,0,31,105000.0,300,4.0,65-74,10
2018,37135,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,2,32,215000.0,360,3.0,55-64,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,32,125000.0,360,4.0,55-64,4
2018,37135,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,5,0,32,155000.0,360,4.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,32,205000.0,360,10.0,35-44,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,4,0,31,145000.0,360,49.0,45-54,10
2018,37135,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,9,32,125000.0,360,38.0,25-34,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,215000.0,360,84.0,35-44,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,2,0,32,85000.0,180,44.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,31,425000.0,360,,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,31,335000.0,240,,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,31,85000.0,360,,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,1,95000.0,180,,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,1,265000.0,180,,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,32,195000.0,240,,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,9,5,85000.0,362,,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,1,135000.0,180,,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,9,5,135000.0,363,,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,1,275000.0,180,,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,5,1,555000.0,360,,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,3,1,285000.0,180,100.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Hispanic or Latino,White,Male,5,0,1,35000.0,276,38.0,<25,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Female,2,0,1,115000.0,276,78.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Female,1,0,1,115000.0,276,90.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Ethnicity Not Available,Black or African American,Male,1,0,1,35000.0,276,35.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Hispanic or Latino,Race Not Available,Male,3,0,1,45000.0,240,68.0,25-34,6
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,1,65000.0,240,92.0,45-54,3
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Asian,Joint,4,0,1,275000.0,276,184.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,Asian,Female,3,0,1,275000.0,276,54.0,35-44,1
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,3,0,1,95000.0,178,14.0,65-74,1
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,1,65000.0,276,57.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,1,125000.0,360,27.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,445000.0,360,191.0,45-54,10
2018,37135,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,1,295000.0,360,55.0,55-64,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Black or African American,Sex Not Available,4,0,1,375000.0,360,119.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,355000.0,360,188.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,1,205000.0,360,61.0,>74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,1,355000.0,360,114.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,1,345000.0,360,188.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,155000.0,360,120.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,405000.0,360,243.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,6,1,295000.0,360,158.0,55-64,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,4,0,1,385000.0,360,98.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,365000.0,240,276.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,1,205000.0,360,58.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,225000.0,360,110.0,45-54,10
2018,37135,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,0,1,175000.0,360,46.0,>74,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,1,185000.0,360,83.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,1,185000.0,360,58.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,1,265000.0,360,85.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,455000.0,360,258.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,1,255000.0,360,155.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,175000.0,360,58.0,>74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,32,325000.0,360,110.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,1,165000.0,360,51.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,1,195000.0,360,157.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,305000.0,360,149.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,305000.0,360,101.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,1,71,1,325000.0,360,92.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,325000.0,360,205.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,375000.0,360,160.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,225000.0,360,93.0,35-44,10
2018,37135,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,71,1,315000.0,360,141.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,1,245000.0,360,68.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,1,155000.0,360,52.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,1,345000.0,360,81.0,25-34,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,1,265000.0,360,67.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,1,365000.0,360,102.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,1,315000.0,360,197.0,65-74,1
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,1,215000.0,360,50.0,25-34,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,2,1,115000.0,360,31.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,6,1,32,135000.0,360,62.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,8,1,1735000.0,360,1031.0,35-44,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,31,205000.0,360,,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,4,0,32,105000.0,360,26.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,31,115000.0,360,132.0,65-74,10
2018,37135,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,4,0,32,215000.0,360,0.0,>74,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,4,0,32,115000.0,360,0.0,<25,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,3,0,32,265000.0,360,0.0,55-64,1
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,32,115000.0,360,0.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,31,115000.0,360,66.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Female,3,0,31,125000.0,180,0.0,65-74,4
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,4,0,31,105000.0,180,0.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Female,4,0,32,115000.0,360,52.0,45-54,10
2018,37135,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,4,0,32,275000.0,360,0.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,6,0,1,455000.0,360,255.0,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,6,3,1,405000.0,360,100.0,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,6,3,1,455000.0,360,138.0,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,6,3,1,235000.0,360,74.0,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,6,3,32,255000.0,180,85.0,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,6,3,32,285000.0,360,154.0,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,1,715000.0,360,230.0,35-44,10
2018,37135,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,2,1,335000.0,360,139.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,0,1,675000.0,360,314.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,1,525000.0,360,170.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,1,555000.0,360,186.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,1,705000.0,360,367.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,0,1,425000.0,360,139.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,1,255000.0,360,75.0,>74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,31,525000.0,360,187.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,1,535000.0,360,430.0,45-54,10
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,3,0,31,135000.0,360,191.0,65-74,1
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,0,4,205000.0,360,103.0,35-44,10
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,4,105000.0,360,277.0,55-64,4
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,31,455000.0,360,216.0,65-74,10
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,31,25000.0,360,30.0,65-74,1
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,31,165000.0,360,41.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,5,5000.0,180,78.0,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,5,5000.0,180,90.0,8888,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,31,255000.0,360,114.0,65-74,10
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Asian,Male,3,0,31,205000.0,360,304.0,35-44,3
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,1,295000.0,360,87.0,35-44,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,4,205000.0,360,215.0,55-64,10
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,45000.0,360,123.0,45-54,10
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,31,105000.0,360,72.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,5,0,4,125000.0,360,65.0,>74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,1,435000.0,360,227.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,5,0,4,105000.0,360,47.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,1,405000.0,360,,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,1,515000.0,360,174.0,25-34,7
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,5,0,2,85000.0,360,205.0,45-54,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,1,425000.0,360,230.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,4,155000.0,360,75.0,55-64,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,31,105000.0,360,12.0,>74,1
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,31,165000.0,360,168.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,4,105000.0,360,34.0,65-74,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,4,105000.0,360,68.0,55-64,10
2018,37135,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,4,55000.0,360,65.0,25-34,10
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Male,3,0,2,55000.0,360,100.0,45-54,4
2018,37135,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,1,575000.0,360,143.0,35-44,10
